CO2,Country of birth/nationality,VAR,Variable,GEN,Gender,COU,Country,YEA,Year,Value,Flag Codes,Flags
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,DEU,Germany,2006,2006,4411,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,DEU,Germany,2007,2007,3832,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,DEU,Germany,2008,2008,4313,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,DEU,Germany,2009,2009,3720,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,DEU,Germany,2010,2010,3267,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,DEU,Germany,2011,2011,2990,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,DEU,Germany,2012,2012,2411,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,DEU,Germany,2013,2013,2535,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,DEU,Germany,2014,2014,2347,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,DEU,Germany,2015,2015,2393,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,DEU,Germany,2016,2016,2811,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,DEU,Germany,2017,2017,2601,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,DEU,Germany,2018,2018,2981,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,DEU,Germany,2019,2019,3330,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,DEU,Germany,2020,2020,2237,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,HUN,Hungary,2000,2000,11,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,HUN,Hungary,2001,2001,3,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,HUN,Hungary,2002,2002,20,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,HUN,Hungary,2003,2003,14,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,HUN,Hungary,2004,2004,64,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,HUN,Hungary,2005,2005,59,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,HUN,Hungary,2006,2006,206,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,HUN,Hungary,2007,2007,64,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,HUN,Hungary,2008,2008,34,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,HUN,Hungary,2009,2009,20,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,HUN,Hungary,2010,2010,47,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,HUN,Hungary,2011,2011,22,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,HUN,Hungary,2012,2012,14,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,HUN,Hungary,2013,2013,91,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,HUN,Hungary,2014,2014,51,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,HUN,Hungary,2015,2015,34,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,HUN,Hungary,2016,2016,56,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,HUN,Hungary,2017,2017,76,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,HUN,Hungary,2018,2018,43,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,HUN,Hungary,2019,2019,156,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,HUN,Hungary,2020,2020,823,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,ISL,Iceland,2000,2000,0,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,ISL,Iceland,2001,2001,2,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,ISL,Iceland,2002,2002,1,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,ISL,Iceland,2003,2003,2,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,ISL,Iceland,2004,2004,5,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,ISL,Iceland,2005,2005,1,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,ISL,Iceland,2006,2006,0,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,ISL,Iceland,2007,2007,8,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,ISL,Iceland,2008,2008,7,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,ISL,Iceland,2009,2009,5,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,ISL,Iceland,2010,2010,1,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,ISL,Iceland,2011,2011,8,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,ISL,Iceland,2012,2012,1,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,ISL,Iceland,2013,2013,4,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,ISL,Iceland,2014,2014,7,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,ISL,Iceland,2015,2015,6,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,ISL,Iceland,2016,2016,6,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,ISL,Iceland,2017,2017,6,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,ISL,Iceland,2018,2018,6,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,ISL,Iceland,2019,2019,13,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,ISL,Iceland,2020,2020,9,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,ITA,Italy,2000,2000,3,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,ITA,Italy,2002,2002,5,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,ITA,Italy,2003,2003,5,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,ITA,Italy,2004,2004,17,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,ITA,Italy,2005,2005,8,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,ITA,Italy,2006,2006,11,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,ITA,Italy,2007,2007,5,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,ITA,Italy,2008,2008,7,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,ITA,Italy,2009,2009,7,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,ITA,Italy,2010,2010,7,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,ITA,Italy,2011,2011,10,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,ITA,Italy,2012,2012,9,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,ITA,Italy,2013,2013,12,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,ITA,Italy,2014,2014,14,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,ITA,Italy,2015,2015,14,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,ITA,Italy,2016,2016,21,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,ITA,Italy,2017,2017,12,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,ITA,Italy,2018,2018,11,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,ITA,Italy,2019,2019,15,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,ITA,Italy,2020,2020,19,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,JPN,Japan,2006,2006,4434,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,JPN,Japan,2007,2007,4593,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,JPN,Japan,2008,2008,7160,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,JPN,Japan,2009,2009,9895,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,JPN,Japan,2010,2010,10025,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,JPN,Japan,2011,2011,9971,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,JPN,Japan,2012,2012,9796,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,JPN,Japan,2013,2013,10427,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,JPN,Japan,2014,2014,12461,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,JPN,Japan,2015,2015,14365,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,JPN,Japan,2016,2016,18376,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,JPN,Japan,2017,2017,28069,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,JPN,Japan,2018,2018,40511,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,JPN,Japan,2019,2019,52566,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,JPN,Japan,2020,2020,21529,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,KOR,Korea,2000,2000,1588,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,KOR,Korea,2001,2001,1839,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,KOR,Korea,2002,2002,1886,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,KOR,Korea,2003,2003,4179,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,KOR,Korea,2004,2004,3601,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,KOR,Korea,2005,2005,7940,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,KOR,Korea,2006,2006,4585,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,KOR,Korea,2007,2007,4922,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,KOR,Korea,2008,2008,7998,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,KOR,Korea,2009,2009,9821,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,KOR,Korea,2010,2010,9488,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,KOR,Korea,2011,2011,14155,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,KOR,Korea,2012,2012,18573,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,KOR,Korea,2013,2013,20484,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,KOR,Korea,2014,2014,17740,,
VNM,Viet Nam,B12,Outflows of foreign population by nationality,TOT,Total,KOR,Korea,2015,2015,24533,,
